父评论id,评论id,用户名,评论内容
-1,8740289,butterswong,Humanity,"<p data-align=""left"">看到冉阿让敲门，主教说进来的那一幕真的泪奔。</p><p data-align=""left"">人性关怀嘛，真的不是所谓的圣母病。</p><p data-align=""left"">病是自以为是地帮助别人，从自己的角度出发，为了自己心安理得，甚至攻击别人从而让自己坐上道德高点</p><p data-align=""left"">而真正的帮助呢，看冉阿让被馈赠烛台后在荒原中的心理描写就知道啦（吐槽下，其实在他去救被冒名的囚犯时，囚犯也应该感受到同等的心灵震撼。然而书里却把囚犯描写成一个sb。所以，人是否能感同身受，有没有susceptibility。还是非常重要的。自省是理智层面的自我修正，但你是不是sensible也决定了你的可塑性）</p><p data-align=""left"">If you come away from that place of sorrow with thoughts of hatred and anger against mankind, you&#x27;re deserving pity. If you come away with benevolent thoughts, of kindness and peace, you&#x27;re worth more than any of us.</p><p data-align=""left"">每个人，保护自己总是对的。但能帮助别人的时候，尽量帮忙吧。</p><p data-align=""left"">可能真的像作者自己说的吧，这本书的第一主角是infinity，第二主角才是human。所以关于历史大环境太多描写（但我只想看情节进展啊）</p><p data-align=""left"">滑铁卢战役那里写了很多（没看，看也看不懂）</p><p data-align=""left"">修道院那里又是一大坨（基本看了）</p><p data-align=""left"">电影里话剧里不都说cossette特别美吗？第二部分书里还说她ugly呢，别跟我说什么女大十八变啊，我不信！</p><p data-align=""left"">好不容易进展到第三章，上来又开始写巴黎的儿童群像！啊！苍天啊。快点到marius可以吗？</p><p data-align=""left"">书的一半位置，开始发糖了。写marius去公园邂逅cossette那里，真是传神啊。</p><p data-align=""left"">看完第三部分。eponine一出场就让人心疼，喜欢照镜子不愿意站岗的小姑娘，用大大咧咧掩饰自己的自卑无措。直白地跟喜欢的人交流。而marius，在偷窥绑架案时候的磨磨叽叽简直烦死了，一边是正义，一边是恩人，不知道怎么选择吗？之前那些被祖父赶出门，在贫苦中磨砺自己，得到的那些良知和对人的悲悯都去哪儿了？看他的意思，如果是cosette他一定会鸣枪，如果是老头儿他就犹豫不决了，都什么玩意儿啊。对比第一部分结尾为了帮助冉阿让撒谎的修女。她宁愿自己受到良心的谴责，也去帮助别人。而这个marius，因为作恶者是所谓的恩人，就昧着良心了。谁是自私的那个，高下立现。</p><p data-align=""left"">不懂为什么要一直美化marius，在绑架案发生后，他又是开始daydreaming，之前他已经责怪过自己沉浸在自己世界里面没注意到德纳第一家的困苦，那现在他有任何改变吗？每天就想着找姑娘，老园丁也不探访了，朋友聚会也不参加了，如果他真的是一个感知力强的人，那为什么感知不到eponine对他的不同？还说什么marius是知道爱和心碎的人，如果他知道自己的情感，那么怎么能对别人视而不见？两个字，自私，没别的了。</p><p data-align=""left"">从珂赛特的角度再去写这段恋情，忽然就对marius没那么反感了。两个人的深夜密会，再怎么单身狗酸葡萄也只能承认这就是天生的一对。作者解释了一下在热恋中的marius像是在白日做梦，连他爹都忘了。所以这可能不是自私，而是太过于陶醉在情感中，忘记了现实？理智已经不能收敛在热恋中的人了？在cossette不告而别后，marius唯一的想法就是去死，一个poet就要凭着浪漫主义去死吗？英国作家的克制和法国作家的奔放，真的是对比很明显了。</p><p data-align=""left"">很喜欢养花爱书的那个老头人设，一辈子与世无争，在生命的最后时刻去护旗。尽管这种政治主张并没有太明确的铺垫，但也让人唏嘘。</p><p data-align=""left"">eponine死的时候，唉，就是死不得其所啊。marius想的只是之前对父亲的承诺。在最后被吐露了爱意，也是只是觉得这个死了的人可怜而已。在亲吻额头的时候还要想一下是不是对不起cossette，然后就马上去看信了。简直。。。eponine的心愿是和marius同归于尽，结果这哥们儿还没死！气啊。</p><p data-align=""left"">尽管很喜欢这几个年轻人，但战争描写太长了。而且评论总是车轱辘话，什么humanity啊，enlightment，我们死了以后世界将特别美好之类的。都看到书的第五部分了，还在拉锯战。啊。</p><p data-align=""left"">剩下200页没看的时候跑去看了其他几本比较短的小说，但在阅读过程中总是能回想到此书的内容。我觉得这本书真的是一个宝藏，尽管阅读过程有些辛苦（因为我只想看情节发展，很多时代背景和历史都跳过去了），但没被跳过去的部分，像是老主教的部分和修道院的部分，其实读完后还是有很多反思的。应该对这本书更加的尊重，而不是跳读。其实这本是值得二次阅读的，那时候情节都会变成辅助（因为你已经知道了），而关于整个社会的描写和作者的反思以及想传达的精神，就会更鲜明。</p><p data-align=""left"">一个宝藏，尽管被我囫囵吞枣，但我也知道这本书的味道和其他不同。</p><p data-align=""left"">过了一阵接着读，继续攻防战。拖了太长时间了，又是一堆理想主义啊社会的不配合啊之类的大道理看得好晕。e和他的醉酒朋友死的那里，还是很感动的。跳过了巴黎下水道简介那段！啊！莫名其妙啊！</p><p data-align=""left"">在下水道背着一个不知死活的人找出口真的太不容易了，尤其是你憎恨这个人。</p><p data-align=""left"">看到marius先灭了火炉，再搬走凳子，为了赶走冉阿让。冉阿让为了避免尴尬就说是自己吩咐仆人做的。珂赛特就信了？你是sb吗？一点感知力都没有？看不懂你老公对你爹的态度啊？看不懂你爹对你的爱啊？大sb还是装的？我真的不信她什么都不知道，innocent到这个地步？作者给她找说辞说是幸福迷晕了眼，你的幸福怎么得来的？一点感恩都没有还是人么？marius没跟冉阿让生活过可以理解他的冷漠，但你爹跟你过了10年啊，他嘴里说疏远你但每天都来看你，你就觉得他不要你了？还是顺坡下驴找个借口抛弃你爹了？真tm没良心。你爹就住在不远的地方，所以你就不能屈尊去看看他？你是被你丈夫囚禁了么？莫名其妙！</p><p data-align=""left"">书里说不要过分苛责年轻人的没良心，因为nature就是没良心的。就像树上的树枝，老树枝向着死亡，新树枝向着生命和阳光。但pleasure和duty就是不一样的。你不能在愉悦中迷失了自己，只想着自己的快乐就是自私和罪恶。冉阿让不敢靠近珂赛特新家，只能徘徊在门口那里，心痛啊。作者给男主的结局也算可以了，至少他死前达成了自己的心愿，见到了珂赛特，并与marius和解。fantine死得才叫惨，以为冉阿让带来了珂赛特，自己就要见到女儿，结果被现实打了个冷不及防，死不瞑目。javert的死，怎么说呢，尽管他看到了自己的consience，感到了god和humanity的存在，但实在无法割舍自己对法律的信仰，跑到警察局写下那些可以改善监狱里罪犯生活的点滴也挺让人同情的。为什么他不能像冉阿让一样，在两个自我的撕扯中选择更高的自我觉醒呢。因为他不像冉阿让一样心灵敏感susceptible？没有人启蒙开导他？还是他觉得自己之前做的是对的事情，但冉阿让觉得自己的过往是错误的？自信（自以为是）的人得不到救赎是吗？</p><p data-align=""left"">marius又做恶了对吧！给那么多钱德纳第，让他去美国继续做奴隶主祸害别人了是吧！因为你对你爹的承诺你就助纣为虐了？你爹如果知道德纳第是这样的人，不从坟墓里爬出来捏死给他钱的你吗？？？</p><p data-align=""left"">终于看完，墓志铭</p><p data-align=""left"">He sleeps. Though fire dealt with him strangely,</p><p data-align=""left"">He lived. Bereft of his angle, he died.</p><p data-align=""left"">It came about simply, of itself,</p><p data-align=""left"">As night follows when the day is ended.</p><p data-align=""left"">冬去春来，黑夜是为了孕育新的光明，好像一切都是理所应当的。冉阿让的自我牺牲和奉献也没什么可歌颂的，就是很普通的一件事，是每个人都该这么做的。可谁又做到了呢？作者的态度还是宽容，如果你做不到打倒自己内心的恶魔，你是可怜的，表面风光但受良心折磨的，可能没法改变，但你要至少知道有冉阿让这样的人存在，有高于世上任何事物的god存在。就像对于革命和进步，作者理解一大部分人的不合作不想搅混水，当自己的interest受连累的时候，大多数人会选择视而不见流血牺牲。但他歌颂巴黎，一个把ideal和art看得高于material和在感官丰足中麻木苟活的国家。希腊，罗马，巴黎，留下的遗产不是当时那些流动的盛宴，而是曾经到达的文明的高度。</p><p data-align=""left"">梦想是个人的，理想是关于整个社会和人类发展的。在梦想被炒作被商业化的现在，谁在谈理想？utopia在每个人眼中又是怎样？有多少人想过这个问题呢？如果苦痛可以给人自省和看清社会的契机，饱饭思淫欲的人活得像一条条白胖肉虫吗？</p>"
-1,8774009,孔铭,震撼人心的故事,<p>虽说小说中有很多介绍与议论让我生厌 比如滑铁卢战争 修道院 俚语 巴黎的下水道等等 但这确实是个震撼人心的故事 雨果的文笔超有魅力 让人不自觉笑不自觉哭 他的思想也超级迷人 引人思考或让人不明觉厉 让·瓦让临死前我哭成狗 最喜欢的角色小加弗洛什 还有雅韦尔的正直（我不知道用什么词来形容他 我觉得尽职不够）埃波妮的痴情 都让我很感动 </p>
-1,8801116,Julia,9.3-9.7--,<p>（悲惨世界上）刚看到中，全世界的好人都在受难，全世界的人除了少有几个都很可恶。读到一半了，用了4天了快，除了刚开始冉阿让的可怜，教士的善良（读到那里的时候真感觉是一本好书和基督山伯爵可以媲美  可是再往下读  叙述了很多无关紧要的人物  兴趣就不是很大了  前面读到的悲悯就全都没了）现在开始读下半  一直都在寻找冉阿让   也一直在寻找 悲惨  不过马吕斯的故事我也在看  可是就不是那么仔细了  有些无关紧要的就直接略过去了  不然现在上部都不一定能读完  读到现在是在有点累了  这两天也有些焦躁  心并不能完全沉下去   现在就想写些东西  不过前面是真的好看  我相信后面也会有惊喜  因为前两天  我还在感叹  我读了一本好书  即使东野也比不上这个大家   然后中间有一次吃饭的时候我还想到一个特别简短能概括本故事的一句话  我以为不会忘记  可是事后没记下还是忘了  怪不得作家都是随身有笔  来记录  </p><p>一直在被人欺负，一直都是在行善的路上被人狠狠欺负，经历那些即使是一个心灵完整的人也会仇视整个世界，凭什么要来赎罪，那么久的行善，那样的被人遗弃凭什么还不可以只为自己。</p><p>下一半段全部完结，前段时间看东野的书感觉他应该是最喜欢的了（见识短浅就是这么来的）</p><p>他活着，尽管命运离奇多磨难</p><p>他安息，只因失去天使才合眼；</p><p>生来死去，是人生自然的规律，</p><p>昼去夜来，也同样是这种道理</p><p>到最后泪流满面，一生的救赎到死也在继续</p><p>我不知道把烛台送给我的那一位，在天上对我是否满意。我已经尽力而为了。</p><p>从那时开始，背负一生的担子（如果从一开始知道结局我绝不会选择他的那条路，如果从一开始知道结局中途我也会走回原路  那样甚至会过的更好  德钠第从一开始坏到最后  他的人生好像也并没有那么坏  不过结局貌似并没有那么好  可是冉阿让呢  他呢  他得到了什么  最后也差点遗憾而终  ）回到开始  他偷面包只是为了姐姐的孩子  后来他偷的也只是一个孩子的小东西  （小孩走掉从来能给过他一次改过自新的机会  那时候的社会也是  即使19年的牢狱生活结束  也还是没能给他提供一个重新开始的机会）  那样的社会能变好吗  那样的社会还有必要做一个好人吗  马吕斯从一开始便是一个绅士   可也是那么可恶  最后的悲剧 难道没有他的一份“功劳” 沙威最后也死了  是被时代逼死的   整个一部书中 只有长大后的珂赛特一缕阳光（那是冉阿让用一生换的） 芳汀 死了（一个美好的人最后几乎走向黑暗） 到死也没有能够得到救赎  小珂赛特  小时候美丽可爱  在德钠第家成了又小又瘦可怜的云雀  她的爱  （使冉阿让看到了希望）冉阿让为他承受所有  为她挡掉所有  留她一室芳华 </p><p>仁慈吗  上帝够仁慈吗  他把一世苦难留给你  你却还要感谢他  </p><p>“你们总算来啦！彭迈西先生，你原谅我啦！”冉阿让重复道。马吕斯又听见冉阿让这样说，心中汹涌的话语便找到个出口，奔泻出来：“珂赛特，你听见了吗？他到了这种程度！还要我原谅他。珂赛特，你知道他是怎么对待我的吗？他救了我的命。不仅如此，他还把你给了我。他救了我</p><p>马德兰老爹那一世救人不被人救  他一生救人无数  除了那一个主教全世界没有一个人 救助过他一次  再是一个好人  也会半路“出家”</p><p>最美好的祝愿给你</p><p>愿你下世一生安好  无虞  有人爱有爱人</p><p></p>
-1,8803011,上班了,超过140了，没法子,<p>我最喜欢沙威，这家伙虽然有私心，但踏马够执着，整部书一直在追冉阿让，如果说冉是道德的化身，那沙威就是偏执的代表。其他人物，都极具个性，要不就是尖酸刻薄，要不就是心肠善良。由于这本巨著横跨十几年，所以有强烈的时代背景，还写了一段重要战役，滑铁卢。本书印象比较深的除了主角的悲壮人生外，还有教会，西方人信耶稣，什么天主教，基督教。。。各种教太多，信仰很早就有了，而且深入生活之中，权利之大，就好像现在我们的少林寺是国家单位一样，而且最少是部级！里面内容太多了，实在难以一一提及！！！</p>
-1,8813278,米米！！,悲惨世界,这是我大三那年读完的第一本长篇小说了吧。今天把它翻出来读后感，也是听了一个读书博主的话，谈论到读书的“输入”和“输出”。我总是抱怨自己永远记不得读的书都在讲什么，就像悲惨世界，就像致小读者，就像海底两万里。你问我读过吗？读过，却真的记不得了。写读后感，更像是对自己的总结。对花费了的时间做一个总结，这是最高效的输出。就像工作，就像老板要求的精炼ppt。<br>&nbsp;&nbsp;这算是我第一份输出的报告了吧。记不得悲惨世界的故事，只隐约记得冉阿让和他的逃亡。不过总算弥补了我没看过长篇的遗憾。
-1,2967678,+し^寻﹄覓,看第一眼就喜欢上了,觉得真的很好看，很感人。其实最后冉阿让终于得到了解脱，这么多年来，一直都很苦，生活在悲惨的、没有光线的日子里。希望他在天堂能幸福......
-1,2972564,一笑,从这本书认识到悲惨是人生的真相,因为一片面包而被捕，越狱后又被一个执着的警察追捕。<br>从没认为冉阿让是个罪犯，从没想到可以因为一片面包而被追捕一生。<br>善良的人，摆脱不了悲惨的命运；尽职的警察最终怀疑自己忠于的法律；疼爱女儿的母亲不得不离开了女儿。这一切，莫不是人生悲惨的写照。可是雨果并没有将人推至绝境，还是将希望寄托在纯洁善良的人身上。<br>是的，世界虽然是悲惨的，至少相信善良美好的人，心底永存希望……
-1,2998396,凌云天宇,悲惨世界,《悲惨世界》确是一部苦难的百科全书。故事的主线围绕主人公获释罪犯冉阿让试图赎罪的全过程。冉阿让是一位苦役犯，仅仅是为了一块面包被“推向地狱”，却经历了不朽，他是一位英雄。他从悲惨中重生，从悲惨中升华！是他让我感到正气，感到温暖，感到敬佩，从未如此深刻！
-1,2999270,++++″術′丨,??,結局圓滿就一定是喜劇嗎.經歷的磨難讓我也折服.冉阿冉.馬德蘭.還是...畢竟是悲劇.雖然結局接近圓滿.好人一定有好報嗎.狠想多看幾次的一部書.....狠愛....
-1,3047311,我是猫,悲惨世界 2B的世界,"悲惨世界的故事很简单，猪脚冉阿让入了狱，因为万恶的社会制度让他失了业，他穷的吃不了饭，所以理所当然的去偷了个面包，所谓饱暖思淫欲，饿寒起盗心就是这么个道理，不幸的是，冉阿让低估了资本社会的罪恶程度，也低估了有产阶级的罪恶心里，他因为一个面包而被判刑了4年半。所幸的是，赛翁失马，焉知祸福。在监狱这个人类社会最好的大熔炉里，我们的冉阿让同志练就了一身所向无敌的本领。(参考基督山，张无忌，令狐冲……..)虽然由于时运不济冉阿让同志两次越狱未成，但在此期间，他的武力和智力均大为提高，用原文的话说，他基本掌握了刺客的一切技能，潜伏，隐身，飞檐走壁，更令人惊讶的是他在监狱还学习到了一项专利，玻璃制造技术。尽管我很惊讶他如何学习到这种在他那个时代本应该层层保护的核心技术。但阿迪达斯早就告诉了我们：一切皆有可能。冉阿让同志在监狱里孤苦伶仃了19年，19年前，他是一个文盲，19年后，他早已不是当年的吴下阿蒙了，警察厅在他的通行证上的评价可以证明这一点，（原文：非常危险的人），总而言之，冉阿让同志出狱时已经是本小说中BOSS级怪物，只有他自己才能阻止自己，为善为恶全在他自己一念之间。<br><br>不幸的是，与大多数主旋律一样，冉阿让同志并没有滑向撒旦的一旁，他的内心还是单纯的，只是被不幸的诅咒给蒙蔽了。根据玄幻小说三大定律，光明和神圣魔法乃驱除此等邪术的不二法门。于是冉阿让同志又一次奇迹般的，没有早一步，没有晚一步，在恰当的时间，恰当的地点，和一个恰当的敌人进行了一次恰当的战斗。其结果不言而喻。上帝说，要有光，于是世间有了光，卡汝福主教说信我者，得永生。于是冉阿让变再也不是邪恶的死灵法师了，他的灵魂在精神风暴面前彻底得到了净化，他脱离了人类所有的欲望，只剩下对理想国，共产主义，和谐社会孜孜不倦的希望，对全人类的爱，对自身罪恶深痛无比的忏悔，以及一个期待救赎的灵魂。一个坚定不已的圣徒。这便是我们对马尔德老爹（即冉阿让）的评价。<br><br>值得庆幸的是，尽管马尔德老爹强大的一塌糊涂，无可挑剔。但其他人却没有这么幸运了。芳汀是个好姑娘，金发，碧眼，丰满，如古希腊雕像一般美丽。而且内心纯洁。性格保守不作二人想，但就是这么一个完美女性，仅仅过了两千字，便被男友抛弃，然后又莫名其妙的怀了孕。没有KISS,没有拥抱，甚至没有可恶的MAKE LOVE，这让我想起了耶稣的诞生，但芳汀却不是圣母玛利亚。玛利亚母凭子贵，芳汀的大肚子却给他带来了深切的灾难。因为方汀由于恋爱而没有学会基本的生存技能，自然不能找到工作，OB NOR NOT BO BE 便成了一个问题，总之，芳汀堕落了，她当了妓女，她的孩子寄养在别处，成为别人敲咋她的工具，而她自己却因为自卑，或者其他原因，没有见到或者没有去找马尔德老爹，不得不生活在别处。雨果告诉我们这是因为杯具的社会造成的，雨果太2了，他低估了人民群众的智商，历史早就告诉我们，在玄幻小说里，不招猪脚待见的人物终究没有好下场，不信，看看那德纳德夫妇和警察沙威便知道了。<br><br>赛柯特便幸运多了，这个芳汀的女儿理所当然的继承了方订的美貌，单纯，善良，还有愚蠢。她爱上了同样单纯（拒绝工作），博学（律师），善良，长的帅的马吕斯，他们还都是第一次，也不愁吃喝（伟大的马尔德老爹留给了他们60W法郎），人世间还有比这更为悲惨的故事么。如果这便是雨果所谓的悲惨，上帝，让悲惨降临在哥的头上吧。<br><br>相比于神化了的冉阿让，卞汝福主教，木偶般的芳汀，赛柯特，马吕斯。我似乎更喜欢德纳德夫妇，尽管他们不那么可爱，贪婪，狡诈，欺软怕硬……….，但他们真实，只有真实才能铸造深刻，只有真实才能造就伟大，遗憾的是，作为浪漫主义文学代表的悲惨世界并不承认这一点，于是我们便不得不忍受一本令人乏味的小说，一个并不出奇的故事。<br><br>不得不提的还有沙威，一个忠于职守的警察在雨果的描写下却仿佛恶棍，最后却在圣徒的感化下，在个人情感和职业道德的矛盾选择了自爆。这似乎开了存在主义文学的先河，所谓的存在主义其实很简单，当你剥离了存在主义是人道主义，他人即是地域，存在先于本质等一系列口号后，其实存在主义文学不外乎描述人在极端境遇下的选择而已。沙威无法选择，因为天平两端的筹码一样，拨过河的我们知道，同样的力作用于绳上其结果不外乎绳断人翻，所以沙威同志只能只杀了事，归于虚无。<br><br>总而言之，悲惨世界对人物的刻画极其拙劣，里面的人物极其幼稚，（歌德就曾经说过雨果小说里的人物是木偶。）对情节的设置极其荒谬，思想以及其浅薄，浪漫主义文学通常都会有这样的毛病，而悲惨世界无疑是它们中的集大成者。里面的人物没有思想，没有灵魂，唯一一个会思考的沙威自杀了，有灵魂的德纳德夫妇也得不到救赎，从这个意义来说，悲惨世界确实文如其名，够悲惨的。<br><br>最后让我们引用雨果的序来作为本篇的结束：“在文明鼎盛时期，只要还存在社会压迫，只要依仗法律和习俗人为地把人间变成地狱，给人类的神圣命运制造苦难；只要本世纪的三个问题：贫穷使男子沉沦，饥饿使妇女堕落，黑暗使儿童赢弱，还得不到解决；只要在一些地区还可能产生社会压制，换言之，也是从更广泛的意义来说，只要世界上还有愚昧和困苦，那么，这一类作品就不会是无用的。”<br><br>是的，这一类书籍当然不是毫无用处。至少，他让我享受到了久违的乐趣，尽管这乐趣有些低俗，流于猥亵。但仍旧是一种可遇而不可求的乐趣。<br><br>悲惨世界，2B们的理想世界。<br><br>"
-1,3059120,晶晶,一部看法国历史的书,&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;这是一部窥视法国历史的书籍。它从各个阶层、角度来描写法国当时的社会背景。当时的法国是多么的黑暗呀，那是一个可以与中国那个时期媲美的人吃人的社会呀！这位法国现实主义作家雨果先生用他极其细腻的笔锋直指法国的统治者。他深刻地刻画了法国在那个时期的背景，以此来向世界昭示社会是如此地黑暗、缺乏同情心的。同时又将社会的好人嫁接在这位悲惨命运的冉阿让身上。在当时的法国却有那种同情并以那种教的名义来施予，这样不得不说让多少人看到了巴黎的曙光，这种同情让法国的富人，也可以说使西方人变的落落大方，富有同情、布施精神，这是东方远远不及的。<br>&nbsp;&nbsp;&nbsp;&nbsp;中国的汉奸多那也是善恶分明的，但是法国却是一个如此的模糊得社会呀。然而人吃人的现象是时刻在发生，我不能说中国的地主不是那样的，但中国的那个年代有同时赋予了团结和信心来驱除侵略者。所以中国的不幸又给中国带来了那些优秀的传统。
-1,3119792,/kl霉女,人吃人,反映当代人吃人的一种现象，为什么我会这么力荐这篇小说？因为我们生活在现代社会虽然没有小说里那种残酷至极的肉体折磨。但是，现代社会存在人吃人的现象很多，剥削者更多的剥削现代人的精神。现代和小说的当代是个金钱万恶的世界！
3047311,3641321,nerfing,,为什么我觉得lz说的还挺有道理的。。。似乎冉阿让的完美，给我一种不真实的感觉
3047311,3826245,ranli228,,"刻薄的聪明人
本书一直在普通人中比在作家中取得了更大的成功
给你几个同时代法国作家的评价让你快乐一下
龚古尔兄弟认为小说写得匠气而令人失望。
福楼拜认为小说既不真实也不伟大。
 波德莱尔认为这是本可厌而无能的书。
优美的拉马丁认为本书语言不纯洁，充满煽动性。他说了这样一段话：悲......无与伦比的才华，诚挚的动机，却是一本在两个意义上危险的书：让幸福者战栗，让不幸者幻想。
雨果的问题在于他与同时代的人站在了完全不同的位置来看待世界。我们所不满的是这种间离感与置身事外感。
不过雨果就是十九世纪，就如同肖邦就是钢琴一样。我们可以不喜欢钢琴，对十九世纪嗤之以鼻，但我们没有权利去否定之。
"
3047311,5450878,^^没事找点事儿,,楼主文风好幽默
3047311,5658542,大表哥,,楼主是来搞笑的
3047311,6180704,共和国,,楼主的确有些浅薄，
3047311,6511091,子曰,,"我在冉阿让和芳汀身上就看不到真实的人性，太过理想化，甚至有违人性~~~一个做了十九年苦役犯在社会底层摸爬滚打的人即便受到感化也是不可能成为书中那样的圣人的，且是没有一定洞察力不分善恶的善人~~至于芳汀，她自小的生长环境是不具备让她成为一个纯真善良爱相信人这样性格的土壤的~~~

不必迷信雨果，《悲惨世界》在西方文评界地位也不是很高吧，浪漫主义文学中那种诗一样的谎言是很受批评界诟病的~~~

上面二楼说雨果是十九世纪，这个太过了吧，十九世纪现实主义越来越成熟力量越来越强了吧，各国都出现了好些杰出的现实主义作家，怎么可能浪漫主义作家雨果是十九世纪呢，若说影响力，怎么着也该是托尔斯泰吧~~~

雨果的整体影响力也确实是高的，他比较具有人道主义精神，而且从政了，并且是个出色的诗人，他被请进先贤祠是因为各方面，并不单单是因为他的小说，他的小说若只是从文学角度来讲并不出色，有些人物太理想化，就跟纸片人一样，西洋文学批评史也对他颇多诟病~~~"
3047311,6614353,Shall VV,,"世界名著得以流传至今  说明确有过人之处 是值得称赞的
你也太刻薄了  "
3047311,7175463,知名必胜赢家,,"我就说为什么我总觉得这本小说哪里不对，原来我跟卤煮一样同样的看法，看了上本实在看不下去下本……
"
3047311,7229691,良木伊人,,中国式自作聪明
3047311,7558305,skydarken,,"是中国式自作聪明还是中国式自甘愚蠢呢？

雨果捏造些人来兜售他的理念，却不想想主教那样行事，怎么可能还存的下银器呢？
勿怪有脑袋的人评价不高。

特别是那个年代偷面包都能判5年，可见穷人很多吧？
不救要死的诚实穷人，却送银器给恩将仇报的囚犯？
不是2B的猪脚光环，你还能想象什么呢？

这些道德上的龙傲天玛丽苏们，真有多少价值吗？

最后我以主旋律再次提醒哪些人傻钱不见得多的被洗脑者
____以德报怨，何以报怨

btw,不学无术者以为雨果是小说写得好，老天，他进先贤寺主要是因为诗歌戏剧还会做人好不好？"
-1,3142516,哑巴歌手,雨果伟大的史诗,断断续续的看完了《悲惨世界》，这是看过雨果的第三本书了，是最喜欢的一部，最耐读的一部，也是最长的一部，现在回想起来，巴黎圣母院的模样已经渐渐模糊了，但卡西莫多的丑陋还在；雄壮的海航景象几乎忘记了，但关伯兰恐怖的笑容也还在；可这本《悲惨世界》呢？它比前两部加起来还要厚，但每一个人，每一个角色，都那么鲜活而且深刻，他们的鲜活和深刻让你不得不在脑海里给这史诗般的巨著中的每一个人物留下一个位置，我开始并不明白，为什么这本书给我的震撼力和感染力这么强烈，后来我了解到，雨果的父亲曾经是拿破仑手下的一名军官，最后升至将衔，而雨果本人就亲身经历了波旁王朝复辟和七月革命，命运似乎与故事中的马吕斯有些许的重和，马吕斯也有个帝国军官父亲，而且，雨果被人的母亲是支持封建君主国的，于是马吕斯的外祖父便也似乎找到了原型，据说整个故事的主人公冉阿让在现实社会中也有原型，是雨果看到了一个罪犯出狱后的痛苦经历，有感而发，创作了《悲惨世界》。雨果的作品是浪漫主义的，而这本书，有了很多现实的元素。<br>然而不管是什么主义，雨果的语言，总是那样一种风格——厚重而强劲，质朴而震撼，我喜欢他的语言风格，因为他好像中国的李白一样，随便一个字，一句话，就能让你血液忽然升温，情感陡然蒸腾，然后感觉整个人被架了起来，漂浮在那里，动弹不了，说不出话，甚至喘不上气，最后变得敏感的同时，也变得麻木了。<br>关于整个故事，想要记录的，和所被感动的，实在太多，而静下心来思考，却也变得有些困难，因为实在庞大，实在浩瀚，现在闭上眼睛感受这本书，就仿佛在听贝多芬的命运交响曲，而这背景音乐下的画面的色彩，我想该是橙黄和鲜红交织与纠结，主教难以置信的宽容，芳汀放弃一切的母性，马吕斯冲动而执着的单纯，外祖父可爱又可气的固执，马白夫令人无奈的愚钝，还有那个有趣的巴黎野孩家弗洛什，巷战中血染衣衫的青年安灼拉，可恶而又可悲的警察鲨威，阴险狡诈的老板德纳第，当然还有我们的冉阿让，我找不出什么词来形容他，他用一种力量贯穿着所有人、穿插着整个故事，这种力量很难完整的描述，似乎不只是爱，还有很多很多能感觉得到，却找不到的看不到的东西在里面，他的经历让我感受到了疼痛，而他的性情，则让我疼痛的感受着，最后随着冉阿让的离去，我的心仿佛被撕扯着的同时又被被拍击一般，想着呼号，却不能出声，怕惊扰了冉阿让，也怕惊扰了自己。<br>雨果善于营造对比，就仿佛《巴》里美丽的埃及姑娘在众人面前亲吻了被束缚着的卡西莫多，也仿佛《笑》中贵族们嬉笑的听着可怜的笑面人悲伤的“哭诉”，冉阿让走的时候留下了一个没有名子的墓碑，墓碑上用铅笔浅浅的下了下面几行字：<br>“他安息了。尽管命运多舛，<br>他仍偷生。失去了他的天使他就丧生；<br>事情是自然而然地发生，<br>就如同夜幕降临，白日西沉。”<br>我想很多人都有自己的天使，我也有，所以不能失去吧。
