用户id,评论内容
1419968053,我特么越看越不好看[怒][怒]
1051599449,我想去旁边吐一会
1543333995,这老头有问题
2053347459,这种电影你也好意思
758218427,辣鸡中的辣鸡
1449578360,从小到大看的电影没有一部像这么差的，看到我都忍不住笑了。导演，你可以下岗了。
1501868613,我想知道那个拿手机的男人是怎么死的，手机又怎么到那个女人手上的
1960058581,拍的什么玩意[喷]
1673544039,拍的真懒。都是老年痴呆症，反应不过来。有起是男一号。差的一塌糊涂
372402156, 海德拉万岁[吐舌]
1741736885,来了
1544287608,应该会有第二部吧最后不是有一条小九头蛇从蛋里出来吗
1334025532,善恶从一
1359843307,什么破片子 看了一会 一帮演技太差 的演员 
1023219596,还是怕
1499404657,这女的嘴巴好大
1929993962,这剧情，这编剧，:cow_face:逼了[勉强][勉强][勉强]
1625010360,跟蛇没关系啊
1976935687,我嘞个去，
760850318,一个树枝卡住包，把一大活人卡哪动不了了，[吐][吐][吐][吐]
471824458,不说话就没热量吗
1009448496,呵呵，全当喜剧看看[吐舌]
1488933798,非常好看，国产巅峰，唐唐推荐的，外瑞古德，我个人评分10.0
1655758520,特价咯
1798825626,通知我
2025753490,真好看！值得一看哦！大家快来[酷]
1426991178,我来看评论的
1171217190,这位导演也是厉害，找了一堆傻子拍。
768700477,我看说电影排名第一内地排名第一科幻排名第一所以想说看看，也许真是一个惊喜
1587343504,演员演技太差，完全没有怕的感觉，还一个一个去当零食
1380781916,演演技太差了。技
1436822416,这电影演的实在太多漏洞了！不过这些导演和演员也只能到这种程度了
410053422,"论此电影最烂的一段就是36分钟老袁的表现，真的是让我叹为观止：
1：在狗从树洞出来的时候背包带被树枝卡了，居然不会想着脱背包，就算是恐惧迷糊了意识，你特么脱身后还追上去是啥意思啊？人物性格描述的一塌糊涂。
2:仔细观看36分15秒的镜头，老袁是正面被拖着往下划的，但是他的四肢以及身体没有任何的牵引物，我估计这蛇应该是学会的佩恩的万象天引把它吸过去的吧。
一分钟的镜头以及剧情就可以看出这个导演肯定是没拍过电影，太烂了。"
1181240634,有没有人说实话，到底是不是烂片？我怎么看这名字和开头就感觉是烂片
1159870980,虽然有点鬼畜 但是还可以
1879535242,buc 
1474064550,好垃圾哦！一点警惕感都没有
2059342314,真心不好看  
1722208425,哎呀，我去，能坚持看完的都不容易。这情节都连接不上
1361084423,我也来凑热闹看看所谓的好看的特效片，虽然看了大家的评论笑了我好10几分钟，本来想走了不看片子了…但是还是忍不住来看看内地国产的科幻大片
1550274507,这也太假了吧！蛇能听懂人说的话
1246809567,九头蛇，看到一瞬间，想到不会国产的吧，默默打开[喷][喷][喷]还真是[泪]
330026415,过家家的游戏真好玩
1188314585,这种片子就不应该有女演员
978945756,美女好看哦
1106538772,那个九号生长激素并不能真的杀死蛇，而是让它繁衍，最坏的还是教授[泪][泪]
1849307052,在国产片中来说，特级还过得去，但是剧情太差了，为什么总是非要袒胸露乳的来怕？就为了吸引眼球吗？居然还发生内哄？不由自主的笑了
1849307052,拍的太差了，恶心
753083371,"垃圾，垃圾中的战斗机
"
812971696,这简直侮辱智商
1455192156,烂到极致的片，给一分都是多的
2063946941,导演乖，不要浪费钱了
1026624813,太假了
1394577418,猪队友
1768812364,吃了她们，一个不留
1971421052,小孩闹着玩样
981219263,蛇会开门？[吐舌]
1774883682,好像搞生物科研的都有枪啊
1565192814,很好看，能坑一个是一个！
1866615170,太搞笑了
1138387786,国产网络大电影，能坑一个是一个[睡觉][睡觉]
1143202444,太忽悠人了
1964759291,连主演的名字都没有，我靠！中国的电影、电视只是凑个数而已！别让频道、影院落空。拉鸡。
1218964910,拍的什么狗东西。你没得。
1964759291,是垃圾中的垃圾
1677981755,我靠真的很难看
1473627613,我哦
1537133797,即使是装逼能装得像点吗，什么事都那么巧，装得心痒心冲
1360520759,"十分钟看完 垃圾的想骂娘
"
1833070397,五星好评[真棒]能坑一个是一个，别问为什么，因为我也是被坑的
1647119462,这也是科幻电影？来搞笑的吧，看得蛋疼
724108672,来了
478953462,特效逼真 看完预告就来了！！好看
1881617967,终于可以看了
1487639363,看了预告片就喜欢上了，一直期待着，现在终于看上了:clapping_hands:
1965024249,特效挺逼真的，九头蛇:snake:[大拇指][大拇指]
1543729974,一点也不恐怖
1543119543,灵异事件的东西，太假了[吐][吐][吐]
1742451195,"有史以来看过最垃圾的一部关于蛇的电影
"
1893465934,一分钟看完，完毕
1225058064,之前看了预告片就期待了好久，真的很不错，很刺激
1443006292,特效逼真，制作不错，从视觉到心理都极具震撼
1998077536,特效真的好逼真，是我喜欢的感觉
1504074888,怪兽大片，惊险刺激
1486846908,不错啊，特效逼真，惊险又刺激
1626940392,这部电影特效逼真，，题材也新颖，值得观看
1028627752,不算太烂，，但是三个第一，，，，，，，，，，，，，，真是能骗一个是一个！！！！
1615008717,大家好
743026731,太他奶奶的假了九头蛇是小蛇吗这么大的蛇很容易发现的吧
1663904099,是真难看！
782025863,好看真的好看，我说的是女保镖
1167475385,一个个的装逼装傻不承认，喜欢比较，实话就是特效三毛钱，还不如抖音人家拍的那种短视频，人物没有基本的常识，就拿那种破老套路，忽悠人
1035344676,"这是还有后续啊，小蛇
出来报仇[泪][泪]"
1023339354,不是说需要9号生长激素才可以繁衍吗？为什么最后已经有蛋了？还孵化了？
1614090729,无语
1817201294,我要兔兔
370326364,好看
1378079332,垃圾片子竟然看完了
1481413269,打卡
1472494510,啥玩意儿，见到都不尖叫
1555339771,还要钱？
1242842385,无聊的电影
1893214862,我只是想问一下，那个尹俊杰的什么时候死的也没有人开枪啊？
1525738013,根本看不懂
1375327826,把这玩意培养出来干嘛？吃吗
1792670800,哎，别出来丢人了，太难看，能坑一个是一个
1588807578,挺好看的 [吐舌][勉强]
1953502726,我不敢过多评价，我怕被喷，我随便看看就得了
1768812364,笨啊
753678819,在车内呢？
1557670786,看了一会儿，看不下去了！！！虽然我不会拍，但是起码的正常思维还是要的
2066037573,"我泥你玛
演得一点技术含量都没有，"
1434562109,九头蛇好恐怖片啊
1024189286,这蛇不是娜迦吗
1352194920,vip为什么看不了？还要开通酷喵是什么？
750372164,真把人当人。智商在哪
478272832,看过欧美的就觉得这个是过家家[乖]
915200299,关键时刻都会掉链子，这就是国产惊险科幻，太作，把演员拍得那么蠢，那么迂腐！[汗][汗]
1992255231,用流量的不要看了，浪费流量，[泪]这电影应该叫一群智障逗笨蛇[吐舌][吐舌][吐舌]
1877689083,全部演员跟瓷锤样   瓜皮
1719360806,在影片中，有时在主配角直面变异九头蛇时的表情及举动稍微有一点不符合客观表现，一般的话都是表情惊恐，试图摆脱危险四处逃窜的；在人与蛇的搏斗中，人与蛇搏斗的英勇气概和蛇的狂烈残暴并没有完全淋漓尽致的表现出来。以《狂蟒巨灾2》为对照，是稍有不足之处的。希望在以后的影片拍摄制作过程中多多完善提高。
1867445019,还有第二季
859543092,哈哈
1224689441,该死的不死。不该死的全死了
1224689441,就这样，插一下？？蛇就死了？
1224689441,那条没脑蛇还在等他们聊完天再攻击，好厉害
764801865,呵呵
1362440111,太好看了   我都想不睡觉看1万遍
1805443832,这演的啥啊？到底会不会演？
1009678286,看这片就是侮辱我的智商 告辞
1795836225,拍的什么玩意啊！感觉是一种耻辱
1360520759,"学学美国把 不丢人这都什么特效啊这么假 看看美国拍的比真的还真

"
1226419655,侮辱观众智商
1634204645,讲了个啥？是不是还有第二部呢？
1709879339,太扯了
1634204645,自食恶果
1197312561,可以
363392855,十分 坑一个是一个
1198866284,只能说这些搞科研的人都是不达目的不死心，不顾别人生死，用动物做实验结果是害人害己[汗]
378179162,剧情太假了，一点不恐怖，感觉这里人的有点傻，第九个头一枪明明可以解决，非要把袋子弄破结果复活了，随便换谁在那种场景下吓都吓坏了，还有心情去把往弄破吗?这么大的蛇怎么从门里进来的?门可以伸缩吗?拍的真烂，还是国外的逼真点
1798825626,因为我们
1849198771,特效逼真啊   好期待
1300580565,经典大片的感觉
1742874538,准时哇
1251622606,来啦来啦！期待已久的变异九头蛇
835316121,特效还蛮不错的耶
2052165324,吓死了:exploding_head: 弹幕护体
1145023891,来了来了…………
1074824334,这是垃圾中的战斗机呀
1318673253,5毛钱特效，垃圾分类
1429439939,谁能告诉是不是什么人都可以做导演
1178732359,期待期待啊 看预告就在期待正片了
1487639363,刚开始感觉就很不错了，很有感觉
2037099769,开头就把我震撼了[花心]
1957389195,特效好逼真呀，又有经典大片可以看啦
2030570509,期待！预告片里的特效好真实好吓人[冷]
1998077536,惊险刺激，险象环生，简直不要太好看[真棒]
1616602609,美女与野兽的经典搭配，太赞了！！！而且画面真的太逼真了！！！
1558639703,好经典啊！性感野兽在线打怪:face_with_tears_of_joy:期待期待
704849552,好幼稚
686653002,真的垃圾，太假了
1205769940,没有什么比这特效做的再假了。。。。。
1760657010,不好看求   太假了
1772603197,派的电银太烂
819115685,国产片看得气死人哦
1787123999,哈哈
1659792533,怎么上的推荐第一骗人的
1244148135,他码这片名谁取的
324099443,砍破网子那个谁，真是不作不死……
1645610822,"惊悚电影吗？怎么感觉像喜剧？
"
1645610822,好逗的电影
1166940140,我笑了，搞科研的进山，穿露挤装，就不能有点专业知识么？
731825461,票房低不是没有原因
1566678232,怪物叫宝宝？特效不错
1593689809,中国难道拍不出象样点的了吗？
1508288266,什么垃圾电影拍的[汗][汗][汗]
1250131314,给了多少钱排第一的？
1696399765,牛批呀。   前面人在谈判，后面有九头蛇。  星到底有多大？
1696399765,他们的心到底有多大啊？  一杆枪就带一只麻醉机牛批啊。
985627460,怪兽大片，感觉会很惊险刺激，特效逼真，不错
1544081496,特效真的不错，吓死我了[勉强]
1518978800,被特效惊艳了，看的好爽！
957706831,看了预告片这部剧真的良心制作呀！特效都很逼真
1643430467,我的天哪～这也太逼真了吧！惊到我了好震撼
550007316,好看
1054848946,怪兽大片，惊险刺激，险象环生
324299118,怪兽大战的题材真的太刺激了
1410565880,刺激逼真推荐观看
811326673,1分作品，真的烂
1454105394,真的是有多烂就多烂
711353150,好看吗？
1905726004,现在的戏边影边放屁[弱弱][弱弱][弱弱][弱弱][弱弱][弱弱]
1743824723,阿言好性感
1939919000,服了，这电影真是牛！笑死我了，特别是连着弹幕一起看
756506956,姓尹的怎么死的？？？导演开枪了？？？
1938656159,特效逼真，从视觉到心理都极具震撼！！！
618806545,性感美女，在线打怪[开心][开心][开心][开心]
1219539256,喜欢看怪兽大片
1186995000,真的特效逼真，从视觉到心理都极具震撼，太喜欢了[勉强][真棒][真棒][真棒]
1634112642,制作精良，特别喜欢这种类型的剧。
1208221003,美女与野兽，好看[哈哈][哈哈][哈哈]
1178420271,什么跟什么啊
1035653521,看到一半看不下去了，侮辱智商。。
1719360806,特效挺不错，但还要多注意琢磨细节。好剧本＋好特技＋好演技＝好作品。
1544526037,太假了
2028012097,什么玩意！
795623304,什么玩意啊
1103514481,[勉强]总结坏人终有报应，自作孽，不可活
1224689441,人有的时候就很做贱
1003811437,后面搞笑，谁啊
1518676695,什么烂剧啊，明明有机会杀死怪蛇，一个个大傻子却要跑开了，甚至还用刀割开绳绳
1775900063,为什么又有一个叫雪莉的
349099137,垃圾5毛特效
2055264279,什么玩意儿啊？这是？
1537133797,进山还会穿这么少，这么短，这么性感的举手，
1209322905,非常好看    大家赶紧去看
390951063,这是我看过的垃圾电影没有之一
1673445926,太假了，这也好意思拿出来播放？？
557811226,差评
796173720,差评
1223400655,什么东西
1477610432,这是什么垃圾电影，
1577594552,太假了，一个人都不吃，只是伤了人
1655758520,途径了
1575648693,终于可以看了
1575648693,我来了
1081894881,沙发。。。预约提示上线了就赶紧来看。。。
1081894881,好看不，，有人看了没
1439078958,就这蛇有九个头连一个尾巴，和半个身体都看不到，还有看着都来气，手机都想丢了，要是现实中有这样的蛇，你们还那样磨磨蹭蹭早就死了。
2008754648,这编剧也是没谁了，不忙着拿枪打蛇，磨磨唧唧的等着蛇都复活了
1602492939,雪莉是雪莉枪吗？
1052481189,一点也不好看
2008754648,这蛇不吃人？只是把人弄死[黑线][黑线]
1923322053,终于来了 期待九头蛇
1968629032,最喜欢看怪兽题材的电影了，惊险刺激，险象环生
1932190746,美女与野兽的经典搭配，“性感美女，在线打怪”
1849198771,怪兽大片，惊险刺激
1445700352,看预告惊险又刺激  感觉很不错
1923322053,很惊险刺激哈哈哈
1893387811,特效真的超级逼真，制作水平也很高，一部很好的片子
1497206772,这部剧的男主，真真是我看剧以来，最最烂的男主，没有之一，屁本事没有，全靠光环加持！！！
1659792533,不是一般的垃圾
1414411544,哈哈
1309984990,垃圾，果然是国产剧
1372420904,里面的女的，像刚刚干完炮的小姐 
1228496921,打卡
458934374,太坑了，没有意思
2055519904,看得我想吐:face_vomiting:吐:face_vomiting:
757735618,够辣鸡的电影
1463218174,三分不能再多
2017647348,吓死宝宝，后面笑死宝宝了
1466008272,这也太奇葩了吧，那个洪骁遇见蛇了，按理说蛇早就一口吞了啊，怎么可能还还会被发现，尤其那死像跟个丧尸似的，好吧，有人就会说了，蛇是故意不吞掉是用来诱饵的，可是也不至于挨着树吧，所以，这拍的太不符合逻辑了:face_with_tears_of_joy::face_with_tears_of_joy:
1375124766,不错，场面惊险又刺激，里面的特效做的很赞很逼真，值得一看。
960431544,为什么不能评分，如果满分10分，我给你-10分。
1088813682,细节和表达都不扣心，感受不到看戏者怎么容入…
1170266958,太假了点吧 包被树枝钩住了，难道不会把包松开吗？
1793219631,不好看
976859361,我看了一下评论，都说国外的怎样国产的怎样，在他们眼里国产不不堪一击，如果你们去演又会怎样？能不能换位思考？我们应该多多支持国产，不喜欢看的可以不看，不要乱喷，请尊重一下他们。
1424234282,感觉这特效真的很逼真
1508642097,这也太刺激了啊，感觉制作好逼真，牛:cow_face:
1631999074,.特效逼真，从视觉到心理都极具震撼
1957650480,.美女与野兽的经典搭配，“性感美女，在线打怪”爱了爱了
1897813368,特效还是蛮不错的呀
1575648693,支持这部电影
951645489,还能带枪？？
1575648693,精彩
1424234282,感觉好刺激呀
1147956336,特效蛮逼真的哎
1036399625,有一说一 电影里两个女的长的还不错。
2025658962,假的可以
973550110,制作精良，其制作水准完全可与院线电影相媲美
1671203938,这真是一部史诗级影片，演员阵容强大，演技高超，牛逼，
1329715473,这部怪兽大片真的很不洗
2054018205,期待已久的九头蛇来了，怪兽大片真的非常刺激，险象环生让人欲罢不能。制作精良，特效逼真，仿佛让人置身之中，堪比院线电影。美女与野兽的较量，除了人和怪兽之间的厮杀，更多的是对于人性的思考，对人性的颠覆
1643430467,惊到我了～
1446925377,这个特效终于不是五毛特效了。
1312342572,最怕蛇了，投电视上大家看[泪]
1585703122,抖音来的报告一下
1244213431,这电影我就想问候导演他全家，优酷是谁审核的，我也要问候他全家
1244213431,我也是这么看的//过家家的游戏真好玩
859543092,哈哈
1576869733,唉……一个字“撇”
1783228284,电影都不好看
1567915180,还行
1613537087,这种太垃圾了
1206861617,这也太假了。背包挂在树枝上一个大男人就被办法了？
1794166582,这蛇把人拖住绑架了，还喂吃喂喝养着她等你们来救！
1883830746,还行
1738483935,这个电影太不错了特效好逼真呀感觉特别的震撼
765312524,这诶……
1504074888,终于来了，看一会感觉还不错
1202355829,挺好看的，整体特效逼真，故事情节完整，真不错:thumbs_up:
2055923824,制作精良啊，特效太棒了
1209113268,看预告就很精彩
1187294272,性感美女，在线打怪
1320616613,那蛇一出来就把我吓懵了，这特效可以[大拇指]
1333503519,太逼真了，好刺激，，喜欢[花心][花心][花心][花心]
2052896870,垃圾，还科幻电影呢
1920352407,好狗血的剧情
1116671566,不伦不类！拍蛇就拍蛇，搞个九头蛇，蛇不是蛇，怪不是怪
1085242573,网剧就是网剧，瞎拉几个人就随意拍，漏洞百出，一点不严谨。制作成本再低，也不要把我们当傻子。
1579980291,太吓人
1017784359,一枪能解决的事情非要逞能用刀，真是服了，不死就怪了
1017784359,"不用最后一枪不用 非用刀？！
自己作死"
1823131229,还有功夫聊天，九头蛇怎么不攻击了
1823131229,演的怎么说呢，很故意为之
1433224682,还是打下分:2分
1472284055,烂的不能在烂的片子了
1338603941,只能说是幼稚片
1565934637,我草，排行第一，真牛呕
1491595799,讲童话故事也要生动一点吗？
474020298,"太差了
虽然是国产，但我还是觉得该批评的批评
别给国家丢脸
"
1491595799,服了有这样的编剧和导演！
491147417,快进看到背包被树枝卡住，蛇来了，还在拼命的伸手想抓枪，直接退出来了[勉强][勉强]
1197312561,可以
1074936964,真的太刺激了，，喜欢
1311951922,终于来了，剧情太刺激了，特效好逼真，很不错呀
1333463966,特效做的真的不错，很震撼
1964863216,惊险刺激的感觉，看着太吸引人了，这特效做的超棒
1508738256,准备拍2了，惊不惊喜，意不意外[勉强][勉强][勉强][勉强]
1336805777,垃圾中的
1989807976,谁看谁后悔
1782664961,狗血剧情，
1408295072,垃圾 多一分都不想给
1446395876,什么鬼
1051159599,九头蛇……相柳？
1566571692,回去
860464345,真是垃圾中的垃圾，浪费我的时间。
860464345,瞧你这审美，简直糟糕到极点！
1476925467,太假了
1468522227,看到说好的[黑线]
861123231,特效不错，希望剧情也很精彩哦
2012564262,这个太棒了，贼刺激。
1554621751,制作水平有院线大片的感觉了，很棒
759854383,特效很好呀，太真实了
1666996861,在那打5分 不知道呀 绝对满分 
1100856279,这部片我为什么怎么看都进入不了剧情？是不是因为把狂蟒之灾看太多遍的缘故[黑线]
1666996861,不想说话 脑子是个好东西 希望导演长点心
1455937976,垃圾电影，特效垃圾，剧情杂乱，国产剧怎么会出这样的垃圾电影
321772770,这电影的彩蛋真好看[太开心]
859543092,哈哈
1300580565,这是人类研究搞砸了吗
518023338,垃圾片，浪费时间，特效也垃圾，都不知道为什么还有人说特效好！
1631999074,特效逼真，从视觉到心理都极具震撼
1598626313,真的太逼真这个特效！看着都吓着了
1491771986,别的不论，特效真的不错，给80分
1067657463,特效太假
1486846908,不错，特效，演员都在线。关键是特效挺逼真的
1410565880,感觉真的蛮有看点的，人兽大战，特效也都挺好。
733738146,美女与野兽的经典搭配特效逼真，值得看
1812193908,怪兽大片，惊险刺激，险象环生 特效逼真，从视觉到心理都极具震撼 牛逼 太喜欢了
1382443786,除“人兽厮杀”之外，“人性颠覆”同样也极具看点
1857009464,制作很用心了，特效也挺逼真的，从视觉到心理都让人感到震撼
1663297758,特效真的特别真实，看的我都吓死了
1404106528,这演技，这特效，国产巅峰，不看绝对后悔[真棒]
1556698189,这个电影特效什么都很逼真啊，画面也是很好看啊
1333668115,看得我好刺激呀！这特效真的好棒好棒
424920985,这个特效算不错的了，蛇:snake:出来吓了我一哆嗦。听说演员都是对这一个很搞笑的蛇头在那演，很厉害了:thumbs_up_light_skin_tone:
1634112642,好喜欢这种惊险刺激的剧了，看着过瘾
2049380324,这特效有点逼真啊，好久没看这类型的片子，小心脏有点受不了，上次看蛇印象深刻的就是那个狂蟒之灾
406464355,这个地方有的太不符合逻辑了
1631443143,害怕害怕！锦鲤附体，惊险又刺激 九头蛇太猛了
1140158874,特效真的是好棒！这制作可以的
1706219009,怪兽大片，惊险刺激，险象环生
1965024249,妈呀太刺激了，九头蛇好逼真啊
1846802053,.怪兽大片，惊险刺激
1879153917,这特效真的太逼真了，值得点赞
1202337756,什么时代了还这特效我去
1665004216,你们觉得呢？恐怖吗？
355433194,一切都是人自己作的。。
328737560,时间是不是被砍了
1122531736,拍的不怎么样，说心里话
1178587271,我一直没有诋毁过国产电影，但是这个是真的菜，拍的什么鬼，导演是转行过去的吧:grinning_face_with_smiling_eyes:
1591912915,首次看到当天上映的电影......
1427589403,惊险刺激，太好看了！
770806302,这个特效真的很厉害，我真的很喜欢这部电影
1427589403,制作精良，其制作水准完全可与院线电影相媲美
1102226096,都是托吧
1107787687,好假
1890194566,“性感美女，在线打怪”除“人兽厮杀”之外，“人性颠覆”同样也极具看点
1593534136,这制作666
1912132273,有一只鸡，特别喜欢拉稀，所以人们都叫它，垃圾！
1691060457,枪太假了吧
1677371159,这影片制作真的太棒了良心影片太刺激了
2037851038,爱了这特效了！太逼真了呢！
1187294272,特效好逼真
2026859356,看我名字哦
1481413269,打卡
1386623301,钱都给演员了，特效肯定不行啦
1635226041,太棒了，堪称惊悚悬疑外加爱情，完美演绎了人性的丑恶，和当代社会人与人之间的信任危机。这让我看到了国产电影史诗级的进步，感觉要从此开辟国产惊悚电影的新纪元了。加油，宝莱坞！！
1519944145,明明可以救下来为什么不救！真太垃圾了！放映出来还不够丢中国电影的呢！
1519944145,垃圾真垃圾
805506627,希望不要浪费我流量
1541654467,真他们的拍的什么垃圾。
2008528140,可惜，演的很正能量，国产剧才会想这队友，要是国外的电影早就个跑个的了。
1764069683,这个不应该报警吗？在山上就报不了警吗？骗鬼呢？导演把我们当傻子呢？
1467879609,进深山老林穿个露脐装，你是来搞笑的吗？
